Ordrenr;Dato;Kundenr;Kundenavn;Kunderef;Valuta;Kundeordreref;Sum eksl. mva;Linjenr;Firma;Lager;Vare;Varenavn;Antall;Enhet;Netpris;Linjesum;Ordreverdi Totalt;Status;Henv1;Henv2;Henv3;Henv4;Henv5;Varegruppe
880008;12.02.2026;K770000;Storkunde K770000;REF-44;NOK;PO-880008;720,00;5;F10;Hovedlager;V660044;Vare V660044;5;STK;144,00;720,00;720,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880009;12.02.2026;K770000;Storkunde K770000;REF-45;NOK;PO-880009;870,00;1;F10;Hovedlager;V660045;Vare V660045;6;STK;145,00;870,00;870,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880009;12.02.2026;K770000;Storkunde K770000;REF-46;NOK;PO-880009;1022,00;2;F10;Hovedlager;V660046;Vare V660046;7;STK;146,00;1022,00;1022,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880009;12.02.2026;K770000;Storkunde K770000;REF-47;NOK;PO-880009;1176,00;3;F10;Hovedlager;V660047;Vare V660047;8;STK;147,00;1176,00;1176,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880009;12.02.2026;K770000;Storkunde K770000;REF-48;NOK;PO-880009;1332,00;4;F10;Hovedlager;V660048;Vare V660048;9;STK;148,00;1332,00;1332,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880009;12.02.2026;K770000;Storkunde K770000;REF-49;NOK;PO-880009;1490,00;5;F10;Hovedlager;V660049;Vare V660049;10;STK;149,00;1490,00;1490,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880010;12.02.2026;K770001;Storkunde K770001;REF-50;NOK;PO-880010;150,00;1;F10;Hovedlager;V660050;Vare V660050;1;STK;150,00;150,00;150,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880010;12.02.2026;K770001;Storkunde K770001;REF-51;NOK;PO-880010;302,00;2;F10;Hovedlager;V660051;Vare V660051;2;STK;151,00;302,00;302,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880010;12.02.2026;K770001;Storkunde K770001;REF-52;NOK;PO-880010;456,00;3;F10;Hovedlager;V660052;Vare V660052;3;STK;152,00;456,00;456,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880010;12.02.2026;K770001;Storkunde K770001;REF-53;NOK;PO-880010;612,00;4;F10;Hovedlager;V660053;Vare V660053;4;STK;153,00;612,00;612,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880010;12.02.2026;K770001;Storkunde K770001;REF-54;NOK;PO-880010;770,00;5;F10;Hovedlager;V660054;Vare V660054;5;STK;154,00;770,00;770,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880011;12.02.2026;K770001;Storkunde K770001;REF-55;NOK;PO-880011;930,00;1;F10;Hovedlager;V660055;Vare V660055;6;STK;155,00;930,00;930,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880011;12.02.2026;K770001;Storkunde K770001;REF-56;NOK;PO-880011;1092,00;2;F10;Hovedlager;V660056;Vare V660056;7;STK;156,00;1092,00;1092,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880011;12.02.2026;K770001;Storkunde K770001;REF-57;NOK;PO-880011;1256,00;3;F10;Hovedlager;V660057;Vare V660057;8;STK;157,00;1256,00;1256,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880011;12.02.2026;K770001;Storkunde K770001;REF-58;NOK;PO-880011;1422,00;4;F10;Hovedlager;V660058;Vare V660058;9;STK;158,00;1422,00;1422,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880011;12.02.2026;K770001;Storkunde K770001;REF-59;NOK;PO-880011;1590,00;5;F10;Hovedlager;V660059;Vare V660059;10;STK;159,00;1590,00;1590,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880012;12.02.2026;K770001;Storkunde K770001;REF-60;NOK;PO-880012;160,00;1;F10;Hovedlager;V660060;Vare V660060;1;STK;160,00;160,00;160,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880012;12.02.2026;K770001;Storkunde K770001;REF-61;NOK;PO-880012;322,00;2;F10;Hovedlager;V660061;Vare V660061;2;STK;161,00;322,00;322,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880012;12.02.2026;K770001;Storkunde K770001;REF-62;NOK;PO-880012;486,00;3;F10;Hovedlager;V660062;Vare V660062;3;STK;162,00;486,00;486,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880012;12.02.2026;K770001;Storkunde K770001;REF-63;NOK;PO-880012;652,00;4;F10;Hovedlager;V660063;Vare V660063;4;STK;163,00;652,00;652,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880012;12.02.2026;K770001;Storkunde K770001;REF-64;NOK;PO-880012;820,00;5;F10;Hovedlager;V660064;Vare V660064;5;STK;164,00;820,00;820,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880013;12.02.2026;K770001;Storkunde K770001;REF-65;NOK;PO-880013;990,00;1;F10;Hovedlager;V660065;Vare V660065;6;STK;165,00;990,00;990,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880013;12.02.2026;K770001;Storkunde K770001;REF-66;NOK;PO-880013;1162,00;2;F10;Hovedlager;V660066;Vare V660066;7;STK;166,00;1162,00;1162,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880013;12.02.2026;K770001;Storkunde K770001;REF-67;NOK;PO-880013;1336,00;3;F10;Hovedlager;V660067;Vare V660067;8;STK;167,00;1336,00;1336,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880013;12.02.2026;K770001;Storkunde K770001;REF-68;NOK;PO-880013;1512,00;4;F10;Hovedlager;V660068;Vare V660068;9;STK;168,00;1512,00;1512,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880013;12.02.2026;K770001;Storkunde K770001;REF-69;NOK;PO-880013;1690,00;5;F10;Hovedlager;V660069;Vare V660069;10;STK;169,00;1690,00;1690,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880014;12.02.2026;K770001;Storkunde K770001;REF-70;NOK;PO-880014;170,00;1;F10;Hovedlager;V660070;Vare V660070;1;STK;170,00;170,00;170,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880014;12.02.2026;K770001;Storkunde K770001;REF-71;NOK;PO-880014;342,00;2;F10;Hovedlager;V660071;Vare V660071;2;STK;171,00;342,00;342,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880014;12.02.2026;K770001;Storkunde K770001;REF-72;NOK;PO-880014;516,00;3;F10;Hovedlager;V660072;Vare V660072;3;STK;172,00;516,00;516,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880014;12.02.2026;K770001;Storkunde K770001;REF-73;NOK;PO-880014;692,00;4;F10;Hovedlager;V660073;Vare V660073;4;STK;173,00;692,00;692,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880014;12.02.2026;K770001;Storkunde K770001;REF-74;NOK;PO-880014;870,00;5;F10;Hovedlager;V660074;Vare V660074;5;STK;174,00;870,00;870,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880015;12.02.2026;K770001;Storkunde K770001;REF-75;NOK;PO-880015;1050,00;1;F10;Hovedlager;V660075;Vare V660075;6;STK;175,00;1050,00;1050,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880015;12.02.2026;K770001;Storkunde K770001;REF-76;NOK;PO-880015;1232,00;2;F10;Hovedlager;V660076;Vare V660076;7;STK;176,00;1232,00;1232,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880015;12.02.2026;K770001;Storkunde K770001;REF-77;NOK;PO-880015;1416,00;3;F10;Hovedlager;V660077;Vare V660077;8;STK;177,00;1416,00;1416,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880015;12.02.2026;K770001;Storkunde K770001;REF-78;NOK;PO-880015;1602,00;4;F10;Hovedlager;V660078;Vare V660078;9;STK;178,00;1602,00;1602,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880015;12.02.2026;K770001;Storkunde K770001;REF-79;NOK;PO-880015;1790,00;5;F10;Hovedlager;V660079;Vare V660079;10;STK;179,00;1790,00;1790,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880016;12.02.2026;K770001;Storkunde K770001;REF-80;NOK;PO-880016;180,00;1;F10;Hovedlager;V660080;Vare V660080;1;STK;180,00;180,00;180,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880016;12.02.2026;K770001;Storkunde K770001;REF-81;NOK;PO-880016;362,00;2;F10;Hovedlager;V660081;Vare V660081;2;STK;181,00;362,00;362,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880016;12.02.2026;K770001;Storkunde K770001;REF-82;NOK;PO-880016;546,00;3;F10;Hovedlager;V660082;Vare V660082;3;STK;182,00;546,00;546,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880016;12.02.2026;K770001;Storkunde K770001;REF-83;NOK;PO-880016;732,00;4;F10;Hovedlager;V660083;Vare V660083;4;STK;183,00;732,00;732,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880016;12.02.2026;K770001;Storkunde K770001;REF-84;NOK;PO-880016;920,00;5;F10;Hovedlager;V660084;Vare V660084;5;STK;184,00;920,00;920,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880017;12.02.2026;K770001;Storkunde K770001;REF-85;NOK;PO-880017;1110,00;1;F10;Hovedlager;V660085;Vare V660085;6;STK;185,00;1110,00;1110,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880017;12.02.2026;K770001;Storkunde K770001;REF-86;NOK;PO-880017;1302,00;2;F10;Hovedlager;V660086;Vare V660086;7;STK;186,00;1302,00;1302,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880017;12.02.2026;K770001;Storkunde K770001;REF-87;NOK;PO-880017;1496,00;3;F10;Hovedlager;V660087;Vare V660087;8;STK;187,00;1496,00;1496,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880017;12.02.2026;K770001;Storkunde K770001;REF-88;NOK;PO-880017;1692,00;4;F10;Hovedlager;V660088;Vare V660088;9;STK;188,00;1692,00;1692,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880017;12.02.2026;K770001;Storkunde K770001;REF-89;NOK;PO-880017;1890,00;5;F10;Hovedlager;V660089;Vare V660089;10;STK;189,00;1890,00;1890,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880018;12.02.2026;K770001;Storkunde K770001;REF-90;NOK;PO-880018;190,00;1;F10;Hovedlager;V660090;Vare V660090;1;STK;190,00;190,00;190,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880018;12.02.2026;K770001;Storkunde K770001;REF-91;NOK;PO-880018;382,00;2;F10;Hovedlager;V660091;Vare V660091;2;STK;191,00;382,00;382,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880018;12.02.2026;K770001;Storkunde K770001;REF-92;NOK;PO-880018;576,00;3;F10;Hovedlager;V660092;Vare V660092;3;STK;192,00;576,00;576,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880018;12.02.2026;K770001;Storkunde K770001;REF-93;NOK;PO-880018;772,00;4;F10;Hovedlager;V660093;Vare V660093;4;STK;193,00;772,00;772,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880018;12.02.2026;K770001;Storkunde K770001;REF-94;NOK;PO-880018;970,00;5;F10;Hovedlager;V660094;Vare V660094;5;STK;194,00;970,00;970,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880019;12.02.2026;K770001;Storkunde K770001;REF-95;NOK;PO-880019;1170,00;1;F10;Hovedlager;V660095;Vare V660095;6;STK;195,00;1170,00;1170,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880019;12.02.2026;K770001;Storkunde K770001;REF-96;NOK;PO-880019;1372,00;2;F10;Hovedlager;V660096;Vare V660096;7;STK;196,00;1372,00;1372,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880019;12.02.2026;K770001;Storkunde K770001;REF-97;NOK;PO-880019;1576,00;3;F10;Hovedlager;V660097;Vare V660097;8;STK;197,00;1576,00;1576,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880019;12.02.2026;K770001;Storkunde K770001;REF-98;NOK;PO-880019;1782,00;4;F10;Hovedlager;V660098;Vare V660098;9;STK;198,00;1782,00;1782,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880019;12.02.2026;K770001;Storkunde K770001;REF-99;NOK;PO-880019;1990,00;5;F10;Hovedlager;V660099;Vare V660099;10;STK;199,00;1990,00;1990,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880020;12.02.2026;K770002;Storkunde K770002;REF-100;NOK;PO-880020;200,00;1;F10;Hovedlager;V660000;Vare V660000;1;STK;200,00;200,00;200,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880020;12.02.2026;K770002;Storkunde K770002;REF-101;NOK;PO-880020;402,00;2;F10;Hovedlager;V660001;Vare V660001;2;STK;201,00;402,00;402,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880020;12.02.2026;K770002;Storkunde K770002;REF-102;NOK;PO-880020;606,00;3;F10;Hovedlager;V660002;Vare V660002;3;STK;202,00;606,00;606,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880020;12.02.2026;K770002;Storkunde K770002;REF-103;NOK;PO-880020;812,00;4;F10;Hovedlager;V660003;Vare V660003;4;STK;203,00;812,00;812,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880020;12.02.2026;K770002;Storkunde K770002;REF-104;NOK;PO-880020;1020,00;5;F10;Hovedlager;V660004;Vare V660004;5;STK;204,00;1020,00;1020,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880021;12.02.2026;K770002;Storkunde K770002;REF-105;NOK;PO-880021;1230,00;1;F10;Hovedlager;V660005;Vare V660005;6;STK;205,00;1230,00;1230,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880021;12.02.2026;K770002;Storkunde K770002;REF-106;NOK;PO-880021;1442,00;2;F10;Hovedlager;V660006;Vare V660006;7;STK;206,00;1442,00;1442,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880021;12.02.2026;K770002;Storkunde K770002;REF-107;NOK;PO-880021;1656,00;3;F10;Hovedlager;V660007;Vare V660007;8;STK;207,00;1656,00;1656,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880021;12.02.2026;K770002;Storkunde K770002;REF-108;NOK;PO-880021;1872,00;4;F10;Hovedlager;V660008;Vare V660008;9;STK;208,00;1872,00;1872,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880021;12.02.2026;K770002;Storkunde K770002;REF-109;NOK;PO-880021;2090,00;5;F10;Hovedlager;V660009;Vare V660009;10;STK;209,00;2090,00;2090,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880022;12.02.2026;K770002;Storkunde K770002;REF-110;NOK;PO-880022;210,00;1;F10;Hovedlager;V660010;Vare V660010;1;STK;210,00;210,00;210,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880022;12.02.2026;K770002;Storkunde K770002;REF-111;NOK;PO-880022;422,00;2;F10;Hovedlager;V660011;Vare V660011;2;STK;211,00;422,00;422,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880022;12.02.2026;K770002;Storkunde K770002;REF-112;NOK;PO-880022;636,00;3;F10;Hovedlager;V660012;Vare V660012;3;STK;212,00;636,00;636,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880022;12.02.2026;K770002;Storkunde K770002;REF-113;NOK;PO-880022;852,00;4;F10;Hovedlager;V660013;Vare V660013;4;STK;213,00;852,00;852,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880022;12.02.2026;K770002;Storkunde K770002;REF-114;NOK;PO-880022;1070,00;5;F10;Hovedlager;V660014;Vare V660014;5;STK;214,00;1070,00;1070,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880023;12.02.2026;K770002;Storkunde K770002;REF-115;NOK;PO-880023;1290,00;1;F10;Hovedlager;V660015;Vare V660015;6;STK;215,00;1290,00;1290,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880023;12.02.2026;K770002;Storkunde K770002;REF-116;NOK;PO-880023;1512,00;2;F10;Hovedlager;V660016;Vare V660016;7;STK;216,00;1512,00;1512,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880023;12.02.2026;K770002;Storkunde K770002;REF-117;NOK;PO-880023;1736,00;3;F10;Hovedlager;V660017;Vare V660017;8;STK;217,00;1736,00;1736,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880023;12.02.2026;K770002;Storkunde K770002;REF-118;NOK;PO-880023;1962,00;4;F10;Hovedlager;V660018;Vare V660018;9;STK;218,00;1962,00;1962,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880023;12.02.2026;K770002;Storkunde K770002;REF-119;NOK;PO-880023;2190,00;5;F10;Hovedlager;V660019;Vare V660019;10;STK;219,00;2190,00;2190,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880024;12.02.2026;K770002;Storkunde K770002;REF-120;NOK;PO-880024;220,00;1;F10;Hovedlager;V660020;Vare V660020;1;STK;220,00;220,00;220,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880024;12.02.2026;K770002;Storkunde K770002;REF-121;NOK;PO-880024;442,00;2;F10;Hovedlager;V660021;Vare V660021;2;STK;221,00;442,00;442,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880024;12.02.2026;K770002;Storkunde K770002;REF-122;NOK;PO-880024;666,00;3;F10;Hovedlager;V660022;Vare V660022;3;STK;222,00;666,00;666,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
880024;12.02.2026;K770002;Storkunde K770002;REF-123;NOK;PO-880024;892,00;4;F10;Hovedlager;V660023;Vare V660023;4;STK;223,00;892,00;892,00;Aktiv;H1;H2;H3;H4;H5;Testgruppe
